year,page,category,chunk
2024,6,PETITE ENFANCE,"PETITE ENFANCE > PERSPECTIVES > TRAVAUX D'ENTRETIEN ET DE MISE EN VALEUR DES CRÈCHES DU TERRITOIRE
- À Hayange, à la crèche La Maison des Douibus : connexion du puits canadien avec un nouveau système de ventilation intérieure de la crèche pour améliorer le confort des enfants, des usagers et de l'équipe.
- À Serémange-Erzange à la crèche La Pammerae : rénovation des portes du hall d'entrée.
- À Florange à la crèche Mini Plouis : réaménagement intérieur, rénovation des menuiseries et isolation des façades pour assurer la fonctionnalité optimale de l'équipement.
- À Nilvange à la crèche Les petits patapons : ouverture du nouvel espace de jeux extérieurs."
2024,6,SANTÉ,"SANTÉ > FAITS MARQUANTS > ACCÈS AUX SOINS
- Signature du Contrat Local de Santé (CLS) Fensch avec 11 partenaires.
- Renouvellement de l'adhésion à l'AD2S (Accès aux droits, santé, solidarité) qui permet aux personnes avec un faible reste à vivre de bénéficier d'une mutuelle à prix réduit.
- Participation au forum SYNAPSE Grand-Est, réunissant de nombreux professionnels de santé.
- Financement d'une étude pour la mise en place d'un exercice coordonné villes – hôpital au sein de l'Hôpital de Hayange. Le CHR Metz-Thionville poursuit les travaux."
2024,6,SANTÉ,"SANTÉ > FAITS MARQUANTS > PRÉVENTION ET SENSIBILISATION AUX CANCERS
- Compagne de dépistage du cancer de la peau en partenariat avec la société Hocoia, dans le cadre du forum Agri pour sa santé.
- Participation à la campagne Octobre rose, avec un défi natation solidaire ""Bonnefs roses"" organisé à l'oralia."
2024,6,SANTÉ,"SANTÉ > SANTÉ MENTALE
- Mise en place d'un Conseil Local de Santé Mentale Thionville – Fensch, en partenariat avec la CA Portes de France - Thionville, l'ARS Grand-Est, le CHR Metz-Thionville et l'EPSM de Metz-Jury.
- Projection-débat autour du film « Loup y es-tu ? », organisée en partenariat avec le CMPP de Hayange pour découvrir la vie dans un CMPP.
- Participation aux Semaines d'information sur la santé mentale.
- Organisation d'une formation Premiers secours en santé mentale pour 10 travailleurs sociaux du territoire, financée par la CPAM de Mouelle."
2024,6,SANTÉ,"SANTÉ > SANTÉ MENTALE > ACCOMPAGNEMENT ET SUBVENTIONNEMENT
- Subvention de 5 000 € au centre social Le Creuset à Llobange dans le cadre du Programme de Soutien aux Familles et à la Paternité/é.
- Aide au développement du projet AP'Kids, porté par Mouelle Mouv'
- Subvention à l'UASF cité sociale à Fameck dans le cadre de l'action « La santé de ma famille dans nos assiettes ».
- Accompagnement dans la mise en place d'ateliers à destination des séniors en lien avec l'ASEPT."
2024,7,SANTÉ,"SANTÉ > PERSPECTIVES
- Organisation des Matinées santé mentale pour travailler sur la mise en place d'actions dans le cadre du Conseil Local de Santé Mentale (CLSM) Thionville – Fensch.
- Organisation de la 2ème Assemblée plénière du CLSM en juin.
- Participation à des campagnes de sensibilisation, avec des actions de prévention et de promotion de la santé : Semaines d'information sur la santé mentale, Défi bonnets roses à Fenslia dans le cadre d'Octobre rose, Movember (santé des hommes).
- Poursuite du développement des partenariats et mise en œuvre du CLS Fensch et du CLSM Thionville - Fensch."
2024,7,CULTURE,"CULTURE > FAITS MARQUANTS > U4
- 17ème saison du Parc du haut-foumeau U4, avec une hausse de fréquentation qui confirme l'issue de la structure et de son projet dans le paysage culturel, touristique et patrimonial du territoire mais aussi du département et de la région.
- En 2024, deux actions de médiation culturelle et scientifique ont été mises en place auprès des scolaires, en partenariat avec la Compagnie Triadique, Apicool et Les pieds sur terre.
- Accompagnement de deux compagnies dans leur création artistique, à travers une résidence de création sur le site.
- Premier partenariat avec la DRAC dans le cadre d'un Appel à Projets pour l'accueil d'une résidence artistique sur le Val de Fensch. Le jury a sélectionné Capucine et Antoine, tous deux photographes documentaires. En lien avec des associations du territoire, ils ont réalisé une série d'interview et de photos centrées sur la place de la femme et la découverte de notre urbanisme. Une première projection a été diffusée lors du Festival du Film Arabe de l'ameck et du Val de Fensch.
- Dans le cadre des Jeux Olympiques, l'U4 a organisé une olympiade culturelle ""Ô couleurs du Brésil"" en partenariat avec Moselle Agence Culturelle et bien nombre d'associations du territoire. Cela a également été l'occasion de présenter les expositions photographiques de Raphael Rodrigues Nascimento jusqu'à la fin de la saison."
2024,7,CULTURE,"CULTURE > FAITS MARQUANTS > LE GUEULARD PLUS
- 10ème anniversaire de la SMAC le Gueulard Plus à Nlivange avec une série d'événements proposés pour l'occasion : concerts, apéros-concerts, atelier famille et une nouvelle charte graphique.
- Signature d'une nouvelle convention permettant le renouvellement du label SMAC avec le Gueulard Plus sur 4 années impliquant également la Région Grand Est et (État (DRAC)).
- La soutien de la communauté d'agglomération s'élève à 400 000 € en fonctionnement et 22 741 € en investissement."
2024,7,CULTURE,"CULTURE > FAITS MARQUANTS > ASSOCIATIONS
- Soutien technique et financier à 5 projets culturels d'envergure : Festival du Film Arabe de l'ameck et Val de Fensch (30 000 €), Festival du film jeune public Alonzanfan (9 500 €), Festival Scènes au Bar (23 000 €), Algrange Mécio Live (30 000 €), Festival Tourns nos voix (5 000 €).
- Soutien technique et financier à 3 associations patrimoniales : MECILOR (9 000 €), AMOMFERLOR (18 000 €) et AASECASHK (2 000 €)."
2024,7,CULTURE,"CULTURE > PERSPECTIVES > U4
- Accueil de l'exposition de Capucine et Antoine sur le site, en partenariat avec la DRAC.
- Démarrage du processus de création d'un nouvel espace d'interprétation en lieu et place du chapiteau existant.
- Proposition d'une programmation plus dense avec de nouvelles propositions événementielles sur le site : U4 Steam, Lusofolix's, avant-prem'Hop.
- Proposition d'une nouvelle résidence de territoire en partenariat avec la DRAC.
- Création d'une BD numérique retraçant la formidable épopée de l'usine sidérurgique d'Uzlange."
2024,7,CULTURE,"CULTURE > PERSPECTIVES > LE GUEULARD PLUS
- Soutien à la création dans le domaine des musiques actuelles, avec une offre culturelle diversifiée en termes de diffusion et un soutien spécifique dans les domaines des musiques du monde et des cultures alternatives.
- Accompagnement, ressource et coopération territoriale.
- Médiation et sensibilisation des publics."
2024,8,CULTURE,"CULTURE > PERSPECTIVES > PATRIMOINE
- Mise en place d'une étude de repositionnement du Musée des mines de fer de Lorraine, afin d'assurer la poursuite de son dynamisme et la conservation de ce patrimoine."
2024,8,SPORT,"SPORT > FAITS MARQUANTS > PISCINES
- Réelle reprise de la fréquentation des piscines communautaires, avec 183 491 usagers en 2024.
- Les recettes des 3 équipements s'élèvent à 548 718 €, soit 4,18 % de plus par rapport à 2023.
- Une politique structurée de redynamisation des activités des piscines a été menée par les équipes d'éducateurs : concert sur l'eau, carnaval, séances de découverte des activités…
- La dynamisation et la progression du club nautique se confirme puisque cette année il se hisse à la 17ème position au classement national des interclubs garçons. C'est également la 4ème meilleure performance sur l'ensemble du Grand Est."
2024,8,SPORT,"SPORT > SPORT > 136 600 €
- 17 titres de champions de France (plus 19 podiums) dans les différentes catégories pour Uckange Evolution Palmes en 2024, ainsi que :
  - 3 nageurs U16 en équipe de France inscrits sur liste ministérielle.
  - 1 nageuse qualifiée aux championnats du monde.
  - 1 nageuse en équipe de France seniors inscrite sur liste ministérielle."
2024,8,SPORT,"SPORT > SPORT > LABEL SPORT
- La politique sportive de la Communauté d'Agglomération permet de d'accompagner techniquement et financièrement les clubs et associations sportives labellisés ou proposant des événements d'envergure. En 2024, 9 structures ont bénéficié d'un soutien pour un montant total de 136 600 €.
- Organisée en partenariat avec le FOC. Aéliétsime, l'édition 2024 des Courses de la Fensch s'est déroulée le 24/11 depuis le collège Jacques Monod à Haysange-Konacker, avec au programme 2 trails, l'inal l kids, 1 concours et un échouflement inédit par des coachs sportifs de Altenhappy."
2024,8,SPORT,"SPORT > SPORT > LABEL TERRE DE JEUX 2024
- Le Val de Fensch a été labellisé terre de jeux par le Département de Moselle. À ce titre, nous veillons à :
  - valoriser les événements portés par les associations ayant le Label Sport du Val de Fensch.
  - accompagner tous projets sportifs s'inscrivant dans une volonté de rayonnement et valorisation des jeux olympiques sur le territoire."
2024,8,SPORT,"SPORT > SPORT > RUGBY
- Rénovation du terrain du rugby du site Sainte-Neige à Neulichif, avec du gazon synthétique, un nouvel éclairage Led et la création d'une tribune pour le public pour un montant de 1 359 944 € HT. Pour ce projet la Communauté d'Agglomération a reçu le soutien de la Région Grand Est (375 592 €), de l'Agence Nationale du Sport (25 000 €) et de la Fédération française de Rugby (25 000 €). Cet équipement permet une homologation en catégorie C et l'accueil de matchs d'envergure."
2024,8,SPORT,"SPORT > PERSPECTIVES > PISCINES
- Poursuite de la politique de redynamisation des piscines avec un programme d'animations renforcé, proposé par les équipes.
- Soutien au développement du club nautique du Val de Fensch et d'Uckange Evolution Palmes."
2024,9,SPORT,"SPORT > PERSPECTIVES > LABEL SPORT
- Accompagnement des clubs labellisés, notamment pour l'organisation d'événements (Trial de la Fensch, arrivée du Tour de Moselle…).
- Soutien renforcé au TROC."
2024,9,ENVIRONNEMENT,"ENVIRONNEMENT > FAITS MARQUANTS > CENTRE TECHNIQUE ENVIRONNEMENT
- Acquisition d'un camion grue OM / Emballages équipé d'un composteur pour la collecte des conteneurs enterrés (310 000 € HT).
- Installation de 16 nouveaux conteneurs enterrés (132 000 € HT).
- Achat de 950 bacs de collecte ordures ménagères et emballages (38 925 € HT)."
2024,9,ENVIRONNEMENT,"ENVIRONNEMENT > FAITS MARQUANTS > PRÉVENTION DES DÉCHETS
- Opération de sensibilisation aux gestes de tri dans 39 classes réparties sur les communes de Algrange, Farneck et Uckange (660 élèves sensibilisés).
- 9 nouvelles labellisations Eco-délis et 4 renouvellements de label en 2024, soit un total de 32 artisans engagés dans une démarche de développement durable, avec le soutien de la Communauté d'agglomération et de la Chambre de Métiers et d'Antiarent de la Morelle.
- Mise en place de la collecte séparée des biodéchets à la source, avec 17 abribacs spécifiques à ces déchets installés sur l'ensemble du territoire.
- Poursuite des actions de sensibilisation du personnel communal à l'éco-exemplarité.
- Lancement d'une campagne d'aide à l'achat de composteur pour les habitants du territoire."
2024,9,ENVIRONNEMENT,"ENVIRONNEMENT > FAITS MARQUANTS > DÉCHÈTERIES
- Travaux d'extension et de requalification de la déchèterie communautaire de Hayange (1 040 249,53 € HT financés par la Communauté d'agglomération avec le soutien de l'État - 260 062 € HT).
- Installation d'un nouveau dispositif de contrôle d'accès sur la déchèterie de Hayange, identique aux déchèteries d'Algrange et de Florange."
2024,9,ENVIRONNEMENT,"ENVIRONNEMENT > PERSPECTIVES > CENTRE TECHNIQUE ENVIRONNEMENT
- Poursuite de la campagne d'implantation des conteneurs enterrés."
2024,10,ENVIRONNEMENT,"ENVIRONNEMENT > PERSPECTIVES > PRÉVENTION DES DÉCHETS
- Ouverture des zones de réemploi dans les déchèteries d'Algrange et Hayange et création d'une Recyclerie à Uckange en partenariat avec une structure de l'économie sociale et solidaire. La recyclerie sera destinée au stockage, à la réparation et à la vente d'abjets réemplosables à compter du 2ème trimestre 2025.
- Poursuite des campagnes de sensibilisation aux gestes de tri dans les écoles."
2024,10,EAU & ASSAINISSEMENT,"EAU & ASSAINISSEMENT > FAITS MARQUANTS > EAU
- Déploiement de la télétravise à Ranguevaux et à Uckange : finalisation par pose de répateurs pour optimiser la remontée des données.
- Réhabilitation et restructuration du réseau à Florange sur la rue de la Fensoh (56 800 € HT) et au niveau de la rue de Fanteck (55 000 € HT).
- Réfection des canalisations d'eau potable à Uckange sur le rond-point des rues de Budange, Temple et Alliés (165 000 € HT)."
2024,10,EAU & ASSAINISSEMENT,"EAU & ASSAINISSEMENT > FAITS MARQUANTS > ASSAINISSEMENT
- Création de nouveaux collecteurs d'assainissement :
  - À Algrange sur la rue de Londres (351 000 € HT), la rue des peuples (418 000 € HT) et la rue des Alliés (836 500 € HT).
  - À Neufchef sur la rue du Conroy (430 000 € HT).
  - À Nlivange sur la rue des Vosges (308 500 € HT) et au croisement entre la rue Foch et le stade Lucien Noirot (300 000 € HT et 773 000 € HT)."
2024,10,EAU & ASSAINISSEMENT,"EAU & ASSAINISSEMENT > PERSPECTIVES > EAU
- Réfection des canalisations d'eau potable au niveau de la rue du Temple à Uckange, dans la continuité des tranches précédentes (montant prévisionnel 200 000 € HT)."
2024,11,EAU & ASSAINISSEMENT,"EAU & ASSAINISSEMENT > PERSPECTIVES > ASSAINISSEMENT
- Réhabilitation et restructuration du réseau de collecte à Algrange entre le stade et l'imposée des Abailles (montant prévisionnel 3 millions d'€ HT).
- Réhabilitation et restructuration du réseau de collecte à Nlivange, rue Lucien Noirot et Rue de la Paix (montant prévisionnel de 1 120 000 € HT)."
2024,11,GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS,"GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS > FAITS MARQUANTS
- Programme de gestion intégrée des inondations avec le bureau d'études SAFEGE :
  - Intégration des données des inspections souterraines complémentaires de la Fensch (sonor).
  - Intégration des données topographiques du bassin versant (UDAR).
  - Modélisation hydraulique et définition d'un avant-projet sommaire, évaluation de l'efficacité des aménagements projetés (452 000 € HT).
- Lancement de la réalisation du Plan de Gestion et de Valorisation du Vallon du Conroy, en groupement de commandes avec les collectivités (Orne Lorraine Confluences et Partes de France Thionville (76 500 € HT).
- Poursuite des études sur le versant du Marspich : étude pédologique sur une zone pour déterminer un avant-projet, soumis à l'avis de la Police de l'eau (9 000 € HT).
- Échanges avec 6 communes du territoire pour candidater à l'Appel à Projet Trame Verte et Bleue 2025 du CAUE 57 (Montant contribution au CAUE de 11 000 € TTC - Montant total des travaux envisagés : 500 000 € HT pour trois années de plantation avec une aide maximale à hauteur de 80%).
- Retraits d'embâcles (accumulation de matériaux apportés par l'eau) à Florange (7 000 € HT).
- Sécurisation des berges de la Fensch avec la pose de garde-corps sur le pont Molitor à Hayange (38 000 € HT), la réfection d'un linéaire d'une vingtaine de mètres de berges à Serémange-Erzange (25 000 € HT) et la réhabilitation de deux passerelles à Florange (6 500 € HT).
- Réhabilitation d'une passerelle sur le ruisseau du Krebsbach à Ranguevaux (2 000 € HT)."
2024,12,GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS,"GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS > PERSPECTIVES
- Dans la zone humide du Brouck à Famesb, la commune a réalisé des plantations participatives avec les élèves en début d'année 2024. Le plan d'action, finalisé par Ecolor, pourra être mis en œuvre en 2025 par le reméandrage du cours d'eau et la restauration de zones favorables aux amphibiens.
- L'élaboration du plan de gestion et de valorisation de la tête de vallon de Ranguevaux sera lancée en 2025.
- Les actions issues du Programme de gestion intégrée des inondations du bassin de la Fensch seront ajoutés au Programme d'Actions de Prévention des Inondations (PARI) Moselle aval, qui sera déposé en juillet 2025.
- À l'automne 2025, suivant les retours de la Région, de la Doral et l'agence de l'eau, les premières plantations visant à renforcer la Trame Verte et Bleue du territoire pourraient être mises en œuvre."
2024,12,AMÉNAGEMENT DU TERRITOIRE,"AMÉNAGEMENT DU TERRITOIRE > FAITS MARQUANTS > GRANDS BUREAUX DE HAYANGE
- Acquisition du garage le 15umidinale, en vue d'accueillir un nouveau parking pour le siège de la Communauté d'Agglomération.
- Travaux de curage et désamiantage des Grands Bureaux de Hayange.
- Signature du commodité d'accès à la verrière des Grands Bureaux avec la Mélodunoise des Récollets le 31/10.
- Vente de l'immeuble des Grands Bureaux de Wende le 06/12."
