year,page,category,chunk
2010,26,LA CULTURE ET LE PATRIMOINE,"LA CULTURE ET LE PATRIMOINE > Autres actions
Entrées gratuites à FERALIA les 2, 3 et 4 juillet 2010 avec diverses animations.
Mise en place du label sport."
2019,39,Direction des systèmes d'information,"Direction des systèmes d'information > Faits marquants > Projets de dématérialisation :
- Migration de la solution de gestion dématérialisée des courriers vers la version ELISE 6 et formation de l'ensemble des utilisateurs
- Travail sur la personnalisation des tableaux de bords de gestion des courriers dématérialisés pour les services."
2019,37,Urbanisme et droit des sols,"Urbanisme et droit des sols > Perspectives 2020 > Autres actions
- Conseil à l'usager et aux professionnels sur rendez-vous
- Veille réglementaire sur l'actualité en urbanisme
- Participation aux révisions/modifications des documents d'urbanisme
- Participation active et organisation trimestrielle des rencontres du Club ADS 57 (club des instructeurs d'autorisations d'urbanisme de Moselle)
- Participation active aux rencontres du réseau ADS DDT54 (club des instructeurs d'autorisations d'urbanisme de Meurthe-et-Moselle)"
2022,6,La communauté d'agglomération du Val de Fensch et ses missions,"La communauté d'agglomération du Val de Fensch et ses missions > 390
Décisions du Président"
2011,11,Le fonctionnement des services,"Le fonctionnement des services > Chiffres clés 2011
- 163, le nombre de délibérations prises par le conseil de communauté.
- 77, le nombre de décisions du bureau du conseil de la communauté.
- 253, le nombre de décisions du président de la communauté d'agglomération."
2022,9,ORGANIGRAMME DES SERVICES,"ORGANIGRAMME DES SERVICES > 40
Marchés en procédure adaptée"
2021,14,BÂTIMENTS ET LOGISTIQUE,"BÂTIMENTS ET LOGISTIQUE > 1
Fensch Infos n¹1 - mai 2021"
2013,35,SOLUTIONS,"SOLUTIONS > PROBLEM 1 > Part (r)
To find the value of x, we need to find the value of y. The function y = \frac{1}{x^2}, which is given by y = \frac{1}{x^2-1}, is given by y = \frac{1}{x^2-1}."
2014,20,Culture & patrimoine,"Culture & patrimoine > Culture & patrimoine > Chiffres-clés : 2014
- 30 684 visiteurs, y compris Jardin des Traces (+ 42% par rapport à la saison 2013).
- 2 659 visiteurs lors des Fêtes de l'U4 (+ 85%) & 1003 visiteurs lors les Journées Européennes du Patrimoine (+ 7%).
- 6 849 personnes accueillies dans le cadre de la programmation culturelle (+ 6% par rapport à 2013).
- 2 935 scolaires accueillis (+ 61% par rapport à 2012).
- 28 équipes artistiques ou artistes invités (hors World Music).
- 26 journées évènementielles pour 47 représentations ou concerts et 5 ateliers."
2023,22,LES ÉLUS COMMUNAUTAIRES,"LES ÉLUS COMMUNAUTAIRES > FAMECK
- M. Alessandro BERNARDI
- M. Jérémy BARILLARO
- M  Aisha HATRI
- M  Kheira KHAMASSI (vice-présidente)
- M  Lucie KOCEVAR (vice-présidente)
- M. Michel LIEBGOTT (président)
- M  Djamika UONELLO
- M  Françoise SPERANDIO
- M. Christian STEICHEN
- M. Fulvio VALLERA"
2017,7,Sommaire,"Sommaire > KNUTANGE
M. CERBAI Fabrice
M. CORAZZA Hervé
Mme FICARRA Béatrice"
2012,33,SOLUTIONS,"SOLUTIONS > 42. (SL79-42) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(4) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2020,7,L'EMOT DU PRÉSIDENT,"L'EMOT DU PRÉSIDENT > 16
Personnes dans le bureau communautaire (contre 25 au précédent mandat)"
2015,36,Direction des systèmes d'information,"Direction des systèmes d'information > Dans la communication institutionnelle
- Afin de mieux identifier le territoire et de mieux le positionner dans son environnement géographique, institutionnel et social, le magazine d'information de la CAVF a été refondé aussi bien dans sa forme que dans son contenu : une nouvelle maquette, un nouveau nom et une nouvelle organisation des pages. «Le Val Média » est devenu « Fensch Infos » dont le premier numéro a été préparé en 2014 et paru en janvier 2015.
- Le changement s'est également opéré pour la publication économique destinée aux entreprises et commerces du territoire : «le Val Eco » est devenu « Fensch Développement ». La rédaction de son contenu est totalement internalisée."
2012,33,SOLUTIONS,"SOLUTIONS > 56. (SL79-56) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2015,28,Petite enfance,"Petite enfance > Hydrologie et espaces naturels > Chiffres-clés : 2015
14 500 000 € TTC, l'estimation des travaux de la seconde phase de requalification de la Fensch et de ses affluents.
363 000 € TTC, le montant des travaux de la piste cyclable.
220 000 € TTC, le montant des travaux pour la requalification des ruisseaux des Écrevisses et du Brouck.
113 000 € TTC, le montant des travaux d'aménagement de la zone paysagère de Ranguevaux.
460, le nombre de moutons qui transhument sur les pelouses calcaires d'Algrange, Nilvange et Ranguevaux."
2015,18,Bâtiments,"Bâtiments > Voiries, réseaux divers > Perspectives 2016
- Étude de faisabilité projet « Cœur de villes, cœur de Fensch ».
- Requalification tronçon 27 Algrange, projet « Cœur de villes, cœur de Fensch ».
- Requalification tronçon 5 Florange, projet « Cœur de villes, cœur de Fensch ».
- VRD nouvelle aire d'accueil des sédentaires à Nilvange.
- Parking Gueulard+ à Nilvange.
- Remplacement mobilier urbain et éclairage public – Parc de la Rotonde à Knutange.
- Requalification de l'éclairage public du giratoire de l'A30 à Fameck."
2012,19,Bâtiments,"Bâtiments > Faits marquants
- Les Matinales des entreprises sur la sûreté dans les parcs d'activités le 4 décembre 2012.
- Pose de la première pierre du bâtiment relais le 29 août 2012.
- Signature du bail avec l'entreprise TONNA le 23 octobre 2012.
- Visite du Président de la CAVF sur le site ITEC de Wuhan (Chine), organisée par le Conseil général de la Moselle.
- Déménagement d'ALEXIS dans les locaux de Synergie à Florange, avril 2012.
- Remise du prix Trajectoire à M. Jean-Claude RITSCH Portofino, le 15 novembre 2012.
- Visite de l'ENIM avec les élus, le 20 septembre 2012.
- Lancement de la troisième tranche FISAC en septembre 2012.
- Ouverture de la commercialisation du Village Artisanal sur la ZAC la Feltière, le 2 mai 2012.
- Réunion publique sur le sujet de la rénovation de la halte ferroviaire d'Uckange le 17 septembre 2012."
2017,32,Chiffres-clés : 2017,"Chiffres-clés : 2017 > Déchets ménagers et déchèteries > Perspectives 2018
- Généralisation de la régie de collecte sur l'ensemble du territoire communautaire
- Déménagement de la régie de collecte au centre technique environnement
- Réflexion sur l'extension de consignes de tri"
2012,33,SOLUTIONS,"SOLUTIONS > 66. (SL79-66) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2021,9,Faits marquants,"Faits marquants > 364
Places de parking en gare / halte ferroviaire (Hayange / Uckange)"
2013,35,SOLUTIONS,"SOLUTIONS > PROBLEM 1 > Part (هـ)
To find the value of x, we need to find the value of y. The function y = \frac{1}{x^2}, which is given by y = \frac{1}{x^2-1}, is given by y = \frac{1}{x^2-1}."
2017,7,Sommaire,"Sommaire > ALGRANGE
M. CERBAI Jean-Pierre Mme CHOLLOT Sheree Mme CORION Patricia M. LEBOURG Gérald M. PERON Patrick"
2013,18,Bâtiments,"Bâtiments > Faits marquants
Lancement de la réalisation du nouveau siège de la Communauté d'Agglomération du Val de Fensch."
2017,25,Chiffres-clés : 2017,"Chiffres-clés : 2017 > Ressource :
- 115 groupes utilisent les studios de répétition (+20%).
- 14 groupes ont bénéficiés d'un accompagnement artistique et/ou technique (-65%).
- 84 participants au programme de formation (-30%).
- 150 utilisateurs de la plateforme ID Touch (streaming musical) mutualisé avec la médiathèque de Nilvange.
Carte G+ : 282 cartes privilèges G+ ont été vendues au 31/12/2016 (+24%)."
2012,11,Les ressources humaines,"Les ressources humaines > 4 457 jours d'absence
- Maladie ordinaire
- Accident de travail, de trajet
- Longue maladie, longue durée
- Maternité, paternité"
2014,34,Direction des systèmes d'information,"Direction des systèmes d'information > Communication & tourisme > Chiffres-clés : 2014
- Budget global de fonctionnement : 360 927 € (hors la subvention tourisme et hors personnel) dont 83 376 € pour la communication U4.
- Budget global d'investissement : 69 341 € et 150 000 € pour le tourisme, à travers son opérateur l'Office de Tourisme du Val de Fensch."
2020,18,598 kg,"598 kg > Faits marquants
- Mise en oeuvre de l'extension des consignes de tri au 1er janvier 2020.
- L kabellisation Eco-défis de 10 artisans du Val de Fensch en partenariat avec la Chambre des Métiers et de l'Artisanat de Moselle.
- Programme de mise en service de conteneurs enterrés.
- Acquisition de deux camions de collecte.
- Instruktion d'un système de réservation pour l'accès en déchèterie.
- Progrue une réflexion sur la fermeture des déchèteries (dimanche).
- 70 000 habitants couverts par la service public de gestion des déchets pour un coût aidé de 109 € par habitant (tous déchets confondus)."
2012,33,SOLUTIONS,"SOLUTIONS > 64. (SL79-64) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(5) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2012,33,SOLUTIONS,"SOLUTIONS > 49. (SL79-49) (Polynomials)
The polynomial of the number 4 is Polynomials. It can be calculated using the formula
P(4) = 4^{4} + 16
where:
-  is the number of roots of the equation (4.11a)
-  is the number of roots of the equation (4.11a)"
2018,4,Compétences de la CAVF,"Compétences de la CAVF > Les compétences optionnelles
La voirie :
- Création ou aménagement et entretien de la voirie d'intérêt communautaire
- Création ou aménagement et gestion de parcs de stationnement d'intérêt communautaire
Les actions relatives à la protection et à la mise en valeur de l'environnement :
- Protection, aménagement et mise en valeur des cours d'eau situés dans le périmètre de la communauté.
- Mise en oeuvre de toutes les actions nécessaires à la lutte contre le bruit et la pollution de l'air
La construction, l'aménagement, l'entretien et la gestion des équipements culturels et sportifs d'intérêt communautaire :
- Équipements sportifs : piscines de Florange, Serémange-Erzange et Hayange - terrain de rugby sur le site Sainte-Neige
- Équipements culturels : Le Gueulard Plus à Nilvange - le Parc du haut-fourneau U4 à Uckange
La construction et l'entretien des bâtiments affectés aux cultes"
2013,7,Sommaire,"Sommaire > ALGRANGE
Mme AQUE Marie
M. CERBAI Joël
M. GULINO Jean-Claude
M. MAROCHINI Eric
M. PERON Patrick
Mme TORRI Fabienne"
2013,17,Marchés publics,"Marchés publics > Juridique > Perspectives 2014
- Préparation de la mise en place du nouveau conseil de communauté.
- Suivi des actes juridiques liés à la mutualisation de services avec les communes.
- Préparation du terme de la concession d'aménagement de la ZAC La Feltière.
- Mise en concurrence pour l'attribution d'assurances tous risques chantier et dommages aux ouvrages pour la micro-crèche de Neufchef et l'ascenseur dans le bâtiment La Feltière de Fameck."
2013,2,Title: The Impact of Climate Change on Global Ecosystems,"Title: The Impact of Climate Change on Global Ecosystems > 4. Polar Ecosystems
Polar regions are particularly vulnerable to climate change due to their sensitivity to temperature changes. Key impacts include:
- Melting of sea ice: The Arctic is warming at twice the rate of the global average, leading to sea ice loss.
- Glacial retreat: Melting glaciers and their presence in the Arctic are rising, threatening coastal ecosystems.
- Permafrost thawing: Thawing permafrost releases stored carbon and methane, further accelerating global warming."
2010,26,LA CULTURE ET LE PATRIMOINE,"LA CULTURE ET LE PATRIMOINE > Faits marquants
Inauguration du centre aquatique FERALIA le 28 juin 2010.
Fermeture des sites de Nilvange et de Uckange depuis le mois de juin 2010 avec transfert du personnel sur les 3 sites restants.
Sélection pour la  fois du collège Hurlevent avec 7 élèves qualifiés pour les championnats de France à Rouen les 7,8 et 9 juin 2010.
Mise en place du club communautaire regroupant les piscines communautaires."
2013,35,SOLUTIONS,"SOLUTIONS > PROBLEM 1 > Part (m)
To find the value of x, we need to find the value of y. The function y = \frac{1}{x^2}, which is given by y = \frac{1}{x^2-1}, is given by y = \frac{1}{x^2-1}."
2018,30,Chiffres-clés : 2018,"Chiffres-clés : 2018 > Tourisme > Perspectives 2019
- Inauguration du bâtiment
- Convention avec le Département de la Moselle dans le cadre de la nouvelle politique départementale du Tourisme
- Rencontre de la Directrice ART Lorraine et projets 2019
- Conventionnement GECT et partenaires / Route du fer
- Label Accueil Vélo
- Renouvellement Marque Qualité
- Réflexion documents de promotion commun / coordination salons"
2021,6,La communauté d'agglomération du Val de Fensch et ses missions,"La communauté d'agglomération du Val de Fensch et ses missions > 154
Délibérations du conseil de communauté
68
Décisions du bureau"
2013,34,Urbanisme et droit des sols,"Urbanisme et droit des sols > Petite enfance > Perspectives 2014
- Travaux de construction de la micro-crèche de Neufchef, dont l'ouverture est programmée pour l'automne.
- Création d'un guide Petite enfance sur le Val de Fensch (nouveaux arrivants familles ou futurs parents).
- Travail de promotion et de valorisation de la garde individuelle.
- Renforcement de l'accompagnement des parents-employeurs.
- Ouverture d'animations du Relais pour les parents : ateliers « Signe avec moi », séances de massage « bébé ».
- Acquisition d'un logiciel de gestion du R.A.M. plus performant pour permettre un meilleur suivi (fiches famille, édition de statistiques pour les financeurs, etc.)."
2014,31,Déchets ménagers et déchèteries,"Déchets ménagers et déchèteries > Autres actions
- Conseil à l'usager et aux professionnels sur rendez-vous.
- Veille réglementaire sur l'actualité en urbanisme.
- Participation aux révisions/modifications des documents d'urbanisme.
- Participation active et organisation trimestrielle des rencontres du Club ADS 57 (club des instructeurs d'autorisations d'urbanisme de Moselle)."
2015,7,Sommaire,"Sommaire > FLORANGE
Mme CONTI-REINERT Céline
M. DECKER Michel
Mme DERATTE Caroline
M. HEYER Alain
M. HOLSENBURGER Alexandre
Mme KRUCHTEN Jacqueline
Mme LOMBARDI Corinne
M. TARILLON Philippe"
2014,25,Sports,"Sports > Faits marquants
- 19 janvier : Cross des castors à Florange.
- 18 et 19 janvier : Championnat de France de Badminton à la salle Régine Cavagnoud.
- 25 mars : Feraliades (scolaires) à Feralia.
- 6 avril : Cross des castors/Boucle de l'acier à Florange.
- 9 avril : Championnat UNSS (Collège Hurlevent) à Serémange-Erzange.
- 16 avril : Lapin de Pâques (animations) à Feralia.
- 15 juin : Semi-marathon Val de Fensch au parc de l'Orangerie de Hayange.
- 26 juin : Feraliades (scolaires) – Feralia.
- 13 septembre : Tour de Moselle (contre la montre) à Florange.
- 20-21 septembre : Animations miniatures à Serémange-Erzange.
- 12 octobre : Championnat de France de billard à Florange.
- 14 novembre : Assemblée Générale Club de Gym à Serémange-Erzange.
- 4 décembre : Feraliades (scolaires) à Feralia."
2019,27,Chiffres-clés 2019,"Chiffres-clés 2019 > Soutien à la création et aux acteurs locaux :
- 10 coproductions de création en 2019
- 6 coproductions de diffusion en 2019"
2015,22,Sports,"Sports > Culture & patrimoine > Faits marquants
- Annulation de la maîtrise d'œuvre pour la réhabilitation des grilles et du pigeonnier de Wendel à Hayange.
- Opération intercommunale pour l'inauguration de la Semaine de la Paix en juin : 1 classe de CM1 des 10 communes ont ainsi participé à une journée de rencontre autour du jeu au Parc communautaire d'Algrange."
2018,4,Compétences de la CAVF,"Compétences de la CAVF
au  janvier 2018"
2017,35,Urbanisme et droit des sols,"Urbanisme et droit des sols > Autres actions
- Conseil à l'usager et aux professionnels sur rendez-vous.
- Veille réglementaire sur l'actualité en urbanisme.
- Participation aux révisions/modifications des documents d'urbanisme.
- Participation active et organisation trimestrielle des rencontres du Club ADS 57 (club des instructeurs d'autorisations d'urbanisme de Moselle).
- Participation active aux rencontres du réseau ADS DDT54 (club des instructeurs d'autorisations d'urbanisme de Meurthe-et-Moselle)."
2023,20,URBANISME,"URBANISME > PERSPECTIVES
- Travail en cours avec le Conseil d'architecture, d'Urbanisme et de l'environnement (CAUE 57) pour conseiller les pétitionnaires sur leurs projets et l'intégration de ces derniers.
- Travail en cours avec l'Agence d'Urbanisme d'agglomération de Moselle (AGURAM) pour la réalisation d'un observatoire sur le foncier et l'habitat.
- Travail en cours sur les zones d'accélération des énergies renouvelables (ZAENR)."
2012,22,Bâtiments,"Bâtiments > Culture, patrimoine & tourisme > Faits marquants
- Embauche d'une chargée de projet Musiques Actuelles.
- Validation du projet architectural lors du comité de pilotage de février 2012.
- Validation du projet artistique et culturel lors du comité de pilotage de septembre 2012.
- Accord du Ministère de la Culture pour la labellisation Scène de Musiques Actuelles (SMAC).
- Démarrage des travaux en décembre 2012."
2020,3,L'EMOT DU PRÉSIDENT,"L'EMOT DU PRÉSIDENT > Compétences obligatoires > POLITIQUE DE LA VILLE
- Débénation du diagnostic du territoire et définition des orientations du contrat de ville.
- Animation et coordination des dispositifs contractuels de développement urbain, de développement local et d'insertion économique et sociale d'intérêt communautaire.
- Animation et coordination des dispositifs locaux de prévention de la délinquance.
- Programmes d'action définis dans le contrat de ville."
2024,12,AMÉNAGEMENT DU TERRITOIRE,"AMÉNAGEMENT DU TERRITOIRE > FAITS MARQUANTS > GRANDS BUREAUX DE HAYANGE
- Acquisition du garage le 15umidinale, en vue d'accueillir un nouveau parking pour le siège de la Communauté d'Agglomération.
- Travaux de curage et désamiantage des Grands Bureaux de Hayange.
- Signature du commodité d'accès à la verrière des Grands Bureaux avec la Mélodunoise des Récollets le 31/10.
- Vente de l'immeuble des Grands Bureaux de Wende le 06/12."
2020,19,598 kg,"598 kg > 218 km
Réseaux d'eau potable
304 km
Réseaux Assainissement
Collecte

De berges entretenues
105 km
De sentiers pédestres entretenus par le Club Vosgien"
2009,7,Le Président et les Vice-présidents,"Le Président et les Vice-présidents > NEUFCHEF
M. BERNHARDT Roland
M. PIERRAT Lionel
M. PRISCAL Daniel (maire)"
2018,28,Perspectives 2019,"Perspectives 2019 > Perspectives 2019
5 ans du Gueulard Plus les 4 et 5 octobre 2019 :
- Signature officielle de la convention pluriannuelle d'objectifs
- Inauguration du label Scène de Musiques Actuelles
Organiser, à l'initiative de la CAVF et du Gueulard Plus, une rencontre avec les élus de la Région et du Département, et les représentants de l'État, pour déterminer l'engagement de chacun au sein du budget de fonctionnement du Gueulard Plus. Développer les ressources propres et rechercher de nouvelles sources de financement."
2021,19,Environsmémor,"Environsmémor > Faits marquants > Gemapi
- Mise en œuvre de la zone de rétention amont sur le Mésing avec ouvrage de régulation du débit.
- Lancement du programme global de gestion intégrée du risque inondation à l'échelle du bassin versant de la Fenech (montant estimatif 895 000 €)."
2020,4,L'EMOT DU PRÉSIDENT,"L'EMOT DU PRÉSIDENT > Bâtiments, sites et équipements gérés par la Communauté d'Agglomération (au 31 décembre 2020) > 5 033 Mandats administratifs
- 1 132 Titres de recette
- 9,67% Taxe d'enlèvement des ordures ménagères
- 1,03% Taxe Foncière sur les Propriétés Bâties
- 9,87% Taxe Foncière sur les Propriétés Non Bâties
- 8,92% Taxe d'habitation"
2016,11,Marchés publics,"Marchés publics > Faits marquants
- 1er saison culturelle et touristique du Parc du Haut-Busseau
- 12e kikuyour une année de collaboration pour le projet EcoTAR
- 16e en place de la 1er édition de la fête des habitants
- 18e event feudi sur une route de 100 km
- 19e édition de la fête des habitants"
2023,4,DÉVELOPPEMENT SOCIAL,"DÉVELOPPEMENT SOCIAL > FONCTIONNEMENT > Copropriétés dégradées
- Lancement du programme des travaux sur les 4 copropriétés de la rue Cootélnau et rue des Vosges à Névange (270 logements) inscrites dans l'Opération Programmée d'Amélioration de l'Habitat (OPAH) « copropriétés dégradées ».
- Réalisation d'un diagnostic socio-économique de la copropriété Sainte-Agathe à Florange par AMLI.
- Adoption d'une convention tripartite BATIGERE, EPFGE et Communauté d'agglomération du Val de Fensch pour l'acquisition et la démolition de la copropriété du 12/24 avenue de Metz à Fameck et la réalisation d'un nouvel immeuble par BATIGERE HABITAT."
2010,30,Perspectives 2011,"Perspectives 2011 > Chiffres clés
490 000 € ttc, la 2ème tranche de la véloroute Charles le téméraire."
2023,11,GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS,"GESTION DES MILIEUX AQUATIQUES PRÉVENTION DES INONDATIONS > FAITS MARQUANTS > GEMAPI
- Poursuite du Programme global de gestion intégrée du risque inondation de la Fensch : démarrage de la phase avant-projet, réalisation des inspections complémentaires subaquatiques par sonar et acquisition de données aériennes par LIDAR.
- Renaturation du ruisseau des Écrevisses sur environ 150 mètres linéaire dans la traversée du Parc de Morlange à Fameck.
- Pose de régulateurs de débit sur les bassins de rétention sur le versant de Marspich, afin d'améliorer la gestion des eaux pluviales et réduire les épisodes d'inondation du fond de vallée. La surveillance des niveaux d'eau par sonde du ruisseau de Marspich a été mise en place en complément.
- Aménagement de berges et reprise d'encoches d'érosion, entretien de la végétation et des ouvrages hydrauliques sur les secteurs aménagés par la collectivité."
2021,16,BÂTIMENTS ET LOGISTIQUE,"BÂTIMENTS ET LOGISTIQUE > 80
Groupes utilisant les studios"
2013,35,SOLUTIONS,"SOLUTIONS > PROBLEM 1 > Part (b)
To find the value of x, we need to find the value of y. The function y = \frac{1}{x^2}, which is given by y = \frac{1}{x^2-1}, is given by y = \frac{1}{x^2}.
To find the value of z, we need to find the value of x. The function x = \frac{1}{x^2}, which is given by x = \frac{1}{x^2-1}, is given by x = \frac{1}{x^2-1}."
2017,27,Chiffres-clés : 2017,"Chiffres-clés : 2017 > Attractivité, Affaires économiques, Santé > Autres actions
- Travaux de préfiguration pour la mise en place d'un espace info énergie / entreprises
- 2 et 3 mars : Salon de la découverte professionnelle
- 30 mars : AG Cap Fensch
- 6 avril, 8 juin, 7 décembre : Participation aux « cafés de la création d'entreprise» à Thionville
- 2 juin : Opération jeunes - entreprises collège Victor Hugo
- 12 juin : Inauguration d'un pôle dentaire à Fameck
- 23 juin : Participation à la fête des entrepreneurs organisée par Ré@gir
- 1er septembre : Inauguration des lignes AGV chez Thyssenkrupp Presta France
- 11 septembre : Concertation SMITU / commerçants
- 13 décembre : Remise du prix Trajectoire à M. Lazarus dirigeant de « La découpe béton - Nilvange»"
2021,14,BÂTIMENTS ET LOGISTIQUE,"BÂTIMENTS ET LOGISTIQUE > 2744
Abonnés sur la page facebook de Feralia"
2012,13,Les ressources humaines,"Les ressources humaines > Chiffres-clés : 2012
- 144, le nombre d'agents.
- 48, le nombre d'avancements d'échelon.
- 8, le nombre d'avancements de grade.
- 121, le nombre d'agents ayant bénéficié d'une formation.
- 54 174 €, le montant des frais de formation y compris la contribution au CNFPT."
2021,6,La communauté d'agglomération du Val de Fensch et ses missions,"La communauté d'agglomération du Val de Fensch et ses missions > 51
Elles communautaires, dont  de femmes"
2015,34,"Politique de la ville, cadre de vie et logement","Politique de la ville, cadre de vie et logement > Chiffres-clés 2015
- 977, le nombre de dossiers déposés.
- 8 permis d'aménager.
- 279 permis de construire.
- 649 déclarations préalables.
- 13 permis de démolir.
- 28 certificats d'urbanisme opérationnels.
- Soit une progression de 5 % par rapport aux demandes de 2014.
- 78 le nombre de dossiers déposés en 2015 dans la CC du Pays Haut Val d'Alzette dont :
  - 32 permis de construire
  - 22 déclarations préalables
  - 24 certificats d'urbanisme."
2021,3,La communauté d'agglomération du Val de Fensch et ses missions,"La communauté d'agglomération du Val de Fensch et ses missions > Compétences facultatives > VOIRIE
- Création, aménagement, entretien et gestion des voiries d'intérêt communautaire
- Création ou aménagement et gestion de parcs de stationnement d'intérêt communautaire"
2015,32,"Politique de la ville, cadre de vie et logement","Politique de la ville, cadre de vie et logement > Politique de la ville, cadre de vie et logement > Autres actions
- Invitation membres du Comité de pilotage sur place à Uckange.
- Action de communication : presse, TV, film de la démolition (en lien avec la Régie et la mairie)."
2009,27,Déchets ménagers et déchèteries,"Déchets ménagers et déchèteries > Chiffres clés
- 412 856,88 €, l'achat de deux bennes ordures ménagères
- 184 599,73 €, l'achat de bacs
- 1 144 168,95 €, le fonctionnement de la régie de collecte
- 20 504, le nombre de tonnes d'ordures ménagères, soit 298 kg/an/habitant et 46,70 €/an/habitant
- 6 335, le nombre de tonnes d'emballages ménagers et de verre, soit 91,6 kg/an/habitant et 26 €/an/habitant
- 14 278, le nombre de tonnes déposées dans les déchèteries, soit 206 kg/an/habitant et 21,90 €/an/habitant
- 62%, le pourcentage des dépenses de fonctionnement couvertes par la taxe d'enlèvement des ordures ménagères."
